Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
764--Telecommunications Equipment,-5392727105,-7063679266,-11183335864,-16513014059,-20631953809,-28417162381,-30576302010,-29240878937,-37729244047,-43729649540,-55973408254,-60701146391,-66332043144,-69265385763,-67247261548
752--Automatic Data Process Machines,-8408071042,-14530172570,-23667951601,-29111483942,-32979342113,-27621960361,-28805493261,-31059680130,-43109842961,-51602553307,-53586826662,-52801521613,-52250492485,-49533070961,-45511909207
894--Toys And Sporting Goods,-14844596686,-16424033093,-17508186361,-19499319322,-21312356304,-26594740327,-27715879398,-23559253419,-25231304368,-22730869167,-22455509984,-22270354617,-23376256923,-25199371357,-24403591028
821--Furniture & Bedding Accessories,-6902212948,-8692066528,-10851168838,-13112938528,-15079798615,-16022172662,-15193383590,-12646062424,-15603195981,-15732320268,-16915333774,-17960815404,-18994524599,-21021136267,-21772362591
851--Footwear,-10192263523,-10526917314,-11315634869,-12682460722,-13829612203,-14096125752,-14442820854,-13289854088,-15859207145,-16660952585,-17093148777,-16964730789,-17009239069,-17194236305,-14729827339
778--Electrical Machinery And Apparatus,-2386027179,-2792339276,-3277942858,-3876889136,-4384205495,-5584139471,-6179239781,-5704358738,-8099116215,-9757425353,-8891629150,-9471446832,-10549841965,-11349329281,-11700518689
893--Articles Of Plastics,-3026702426,-3440165430,-4075043490,-5056686919,-5662889819,-6349985411,-6653961223,-5983714496,-7145041936,-7848034730,-8856301404,-9358979506,-9884314479,-10514363572,-10897529875
761--Television Receivers,-827804029,-1433625227,-2269203682,-4824320989,-7486795262,-14981738870,-17082275712,-14432336071,-14986890126,-11450259091,-10601838673,-10290813443,-11538518786,-11050281881,-9957529531
575--Plastics,124070418,273397456,347051270,539537488,799313485,1157894655,988582895,1038131732,967427186,1016591246,838101754,843930284,781918799,685747283,778580519
342--Liquefied Propane And Butane,-90681,37024818,48445384,29764553,11456417,-60480,56316,28174442,14578718,-33429,56999400,140344348,290573956,961288115,965026099
045--Cereals; Except Wheat; Rice; Barley; Maize,-245887,-324539,-411777,-446092,-625571,-710856,1498756,-747593,305366,-2050208,-1010923,99931117,1467352779,2114598050,1023803839
248--Wood; Simply Worked,35871786,24713999,-39261789,-63592256,-30056319,-64879794,17164473,131609720,326864488,639816445,608334109,877224841,1122373092,900214496,1133417663
288--Nonferrous Base Metal Waste & Scrap,458271244,736291587,969025337,1522503359,3129587346,3611964977,3670603375,2671142687,4541847898,6320065147,5414461910,5114951549,3933910338,3014633704,2282390584
251--Pulp And Waste Paper,414432604,604938911,742924242,993014113,1470937033,2046081389,2220374532,2486119007,3044932130,3974181642,3814133945,3597487547,3359597777,3412425779,3479076195
781--All Motor Vehicles,16870363,35424625,42585800,228885359,355169334,576723386,947466566,992630863,3367400478,5275325459,5687786029,8487506898,11059851596,8810257033,7584921509
792--Aircraft & Associated Equipment,3374293178,2368633590,1735158401,3706174220,4703670526,5027449593,3718388515,5115584086,5484931780,6014734941,7961460183,12128565984,13417861657,14954061275,14107334358
222--Oil Seeds and Oleaginous Fruit,993944392,2885264242,2314546067,2223004711,2519640918,4098357690,7207594644,9157058554,10877345432,10518797501,14832125298,13231921209,14436115302,10507564959,14326544185
