Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,-103064674758,-124068154039,-162254261479,-202278094672,-234101344269,-258505975358,-268039790280,-226877204877,-273041552651,-295249708996,-315102466965,-318683830955,-344817691450,-367256717964,-347016032572
111--AGRICULTURAL PRODUCTS,1091208238,3593973229,4142318807,3636792451,4551823327,5443951528,8788536815,10191119140,13351382719,14207316551,20080524393,18228636130,17662169901,14208401664,16607794559
336--TRANSPORTATION EQUIPMENT,1763748625,347100447,-1493446798,-314269408,-90699326,-504255933,-1848224967,1218612698,1748103054,1419313720,2797599650,9282342672,10888407549,8326183433,7539518228
910--WASTE AND SCRAP,1183765493,1916547025,2473564020,3635534641,5908281983,7399946294,7554650461,7096788181,8498718379,11435758618,9371638939,8633513160,6981135477,5871167542,5084854590
211--OIL & GAS,-180836997,-72565216,-117730120,-405378387,-462116047,-142125268,-498041607,-82162879,-102910265,6494950,-1430885,122065286,359647729,976753507,1447401476
212--MINERALS & ORES,-56477448,-22388285,45314881,258815929,237904787,684595944,538817745,772229414,1869486799,2420523908,2796253797,2336762379,1583577304,938308818,1084031204
113--FORESTRY PRODUCTS; NESOI,27012729,57930781,64746118,98605362,102397894,149039716,135062485,157433915,552633335,954791016,666209382,984653528,1094429264,659120121,808925633
312--BEVERAGES & TOBACCO PRODUCTS,-33551011,-21867153,-25080496,-13285733,-13475452,-10956127,848045,114378405,521467209,371712759,640140417,1426687710,1284243329,1654244148,502218056
930--USED OR SECOND-HAND MERCHANDISE,0,0,0,0,0,0,0,0,0,704156348,420841109,660920770,951032393,466764932,368859635
324--PETROLEUM & COAL PRODUCTS,-38090880,-131880698,-42510233,-37224922,-93712793,26452742,102356265,187253684,376667382,838502259,899096755,1159113312,578474540,539372597,236784573
112--OTHER ANIMALS,-2814837,-9128848,-1341989,17228118,11489944,24551562,117368051,113726821,170609370,178015490,204613937,263914834,104847366,168725168,88822771
ZZZ--TRADED ITEMS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920--USED OR SECOND-HAND MERCHANDISE,-150127210,-163784436,-160046319,-269598325,-265171758,-351999506,-280581995,-135125637,-209595739,0,0,0,0,0,0
511--NEWSPAPERS; BOOKS & OTHER PUBLISHED MATTER; NESOI,-2422326,-3790746,28702463,31873726,51436304,23676583,22789373,40400400,56188870,46994395,0,0,0,0,0
3ZZ--MANUFACTURING PRODUCTS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33Z--MANUFACTURING PRODUCTS; PART 3; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31Z--MANUFACTURING PRODUCTS; PART 1; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11Z--AGRICULTURE AND LIVESTOCK PRODUCTS; NESOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311--FOOD MANUFACTURES,50558512,108235922,-189097988,-324768004,-187614889,-177651755,-379506505,-349791434,-11243674,15450266,216137000,966437235,688059444,-245138918,-254260811
322--PAPER,-240370596,-498318126,-546603974,-863616721,-1299534722,-1311149007,-1446740683,-825611960,-625008900,383018646,28060766,-38344859,-375259023,-542759420,-698969430
