Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,22127790292,28367942859,34427772456,41192010123,53673008343,62936891576,69732837543,69496678611,91911080944,104121523635,110516615672,121746188637,123657203406,115931978123,115602074420
336--TRANSPORTATION EQUIPMENT,4026103837,3248882492,2644538432,4907062899,6403073099,7210766254,6075115160,7491734982,10618418499,12295219267,15091408722,22561069176,26472063628,26094548666,25559277389
111--AGRICULTURAL PRODUCTS,1237765162,3762850737,4363594779,3896941173,4854623014,5805629378,9185740423,10575818221,13819065333,14692362405,20715384915,18901908335,18291448862,14877454817,17258601840
334--COMPUTER AND ELECTRONIC PRODUCTS,5324668139,6508239521,7780668094,8851758407,12586649140,13271082601,13884275258,12530180828,15235339338,13625297792,13921978742,16025640000,16356274051,17405972045,17108443635
325--CHEMICALS,2979866511,3699058470,4724561465,5530390398,6064700460,7875469094,8720615020,9712981328,11803487864,13590673076,12939112574,13911024604,13795577231,13315996081,13443156661
333--MACHINERY; EXCEPT ELECTRICAL,2881763492,3184481036,4995460351,4811851898,5778480299,7110848585,7553798076,6455665320,9301497919,10371578924,9426133863,9507484756,9685764129,9187312519,8240357102
910--WASTE AND SCRAP,1212092627,1944263839,2514460029,3692189081,6048554599,7476091413,7655217157,7176459255,8602885525,11555418042,9525388016,8762337896,7118411102,5978257163,5181971296
311--FOOD MANUFACTURES,798024077,1122349714,1086645076,1201449600,1701891139,2312640291,2621495007,2133077348,2842813679,3419263357,4060362404,4638152533,4268200382,3300819035,3305594993
335--ELECTRICAL EQUIPMENT; APPLIANCES & COMPONENTS,534769930,545111158,826870642,987881269,1306255783,1357270141,1739666009,1342367406,1646249388,2343833897,2479442772,2746613383,3055043320,3006701584,2944313722
339--MISCELLANEOUS MANUFACTURED COMMODITIES,213442938,268296778,376994442,446130232,514072367,636238074,749407833,952035466,1521799836,2047492140,2106983080,2128276527,2381045878,2586539789,2895799596
322--PAPER,641201024,656226532,814629912,870853510,980022560,1283786570,1368633616,1630908228,2110879978,2735953668,2560552772,2558720620,2444002757,2444569605,2376918839
332--FABRICATED METAL PRODUCTS; NESOI,374929105,508400116,664618632,853889325,983481956,1089743803,1356941444,1273800041,1559534172,1883160962,1871582120,2258003403,2273988259,2323202871,2359101820
331--PRIMARY METAL MFG,251579075,799307738,805099004,1647194979,2252036595,2144163870,2893067648,2512488205,3094951493,2868721356,3120466427,2991859924,3123529363,1801568597,1788115639
321--WOOD PRODUCTS,163342727,196559064,267116350,315887745,385002630,353665095,303674289,315234954,525530350,848817858,839873762,1198060777,1428713628,1208215136,1521666677
211--OIL & GAS,1112604,38068724,76004263,41734286,11826179,120309,2188557,28865480,24392272,68553757,79793987,174136849,360197551,977853458,1448485565
326--PLASTICS & RUBBER PRODUCTS,228829632,294472686,416204701,462435775,545850355,664347884,783010196,732363611,1025001650,1245123500,1132356627,1210004349,1257435727,1343803376,1409121380
212--MINERALS & ORES,71413589,119251002,231090683,495514423,512301423,955275282,854770138,914582130,2057182543,2653965196,3069041033,2543977015,1826840637,1186894284,1265457669
113--FORESTRY PRODUCTS; NESOI,77994934,116424339,131472080,174600818,193957671,252058715,239498035,261209411,673917814,1113118896,834404721,1189066848,1269852778,895631590,1054849487
114--FISH; FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS,146224522,208814986,296190734,388531589,468507433,563651897,577200292,614465055,780420490,1196907012,1205414845,1179078348,1247076392,1100961785,1052780771
990--SPECIAL CLASSIFICATION PROVISIONS; NESOI,299991015,363559467,422341279,495483220,600009277,757080641,946578670,746388733,1502898635,986038019,847180675,965395583,997007658,962316895,1028908724
324--PETROLEUM & COAL PRODUCTS,98544151,108117752,136125820,129567020,187235125,295782555,418849733,397888938,650108719,1048155575,1101982577,1464644550,1007917480,1027767924,858693877
327--NONMETALLIC MINERAL PRODUCTS,149181153,175468083,236053635,240590728,325508868,440451916,509659518,516803595,577273783,627120988,605266593,648292293,707310925,686260790,745958775
930--USED OR SECOND-HAND MERCHANDISE,0,0,0,0,0,0,0,0,0,1009431559,774937694,1002960243,1284525194,876222373,705234136
312--BEVERAGES & TOBACCO PRODUCTS,5742066,7404016,12748457,13613611,20331653,27750958,37556044,147754306,557809122,412946924,706566749,1490775650,1353448090,1724252319,585851797
316--LEATHER & ALLIED PRODUCTS,94014669,119844232,144304679,148631426,198286793,244197106,222260966,215307748,296947752,337230517,336959597,376952347,481938918,442421429,422454434
