Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,125192465050,152436096898,196682033935,243470104795,287774352612,321442866934,337772627823,296373883488,364952633595,399371232631,425619082637,440430019592,468474894856,483188696087,462618106992
334--COMPUTER AND ELECTRONIC PRODUCTS,33326492723,43865519333,64019134185,79682840175,95790909648,105521104160,107891066403,103355689690,132770423192,140956595755,154399373963,159054197532,168279759528,170531558102,161252561585
335--ELECTRICAL EQUIPMENT; APPLIANCES & COMPONENTS,10527693273,11879540826,14805876861,17314061419,20254785550,22188031771,23287155059,20145229969,26063479147,31491884983,33309529684,36624980895,38949085484,41746689032,40581502269
339--MISCELLANEOUS MANUFACTURED COMMODITIES,20441646295,22933323601,25090603393,28170431083,31042223495,37223964678,38654643169,33409102029,37505771995,35942528908,36173997407,36160294378,37703574099,40106461488,39406477022
333--MACHINERY; EXCEPT ELECTRICAL,5579387101,8339068872,11201094635,14787664361,17238029484,17581088002,16727732760,13957377927,16992640697,23559928747,25756954734,26403762291,29602321757,30602368676,30431710565
315--APPAREL MANUFACTURING PRODUCTS,9274985213,11040137232,13145284089,19343172469,22417814801,26357426018,26169884813,26167913323,30969292493,32313535065,31926266821,32716725191,32795754531,33445516757,30339197475
337--FURNITURE & FIXTURES,6828651157,8535247933,10492347561,12602463148,14482700073,15394422575,14820747647,12416868154,15127499315,15265751839,16425546412,17451501803,18478137541,20431057371,21181100124
332--FABRICATED METAL PRODUCTS; NESOI,4886975965,5835458785,7562576111,9473828331,11844714136,13394976190,14883007843,11428121952,14142893671,16709374844,18264648245,18579056587,20174949679,21245067757,21091077333
316--LEATHER & ALLIED PRODUCTS,13059374366,13995447854,15541813894,17501449551,19226104997,19992620960,20605516139,18372343345,22332482936,23180904837,23906055154,24006610844,24013918824,24295800880,20926914421
336--TRANSPORTATION EQUIPMENT,2262355212,2901782045,4137985230,5221332307,6493772425,7715022187,7923340127,6273122284,8870315445,10875905547,12293809072,13278726504,15583656079,17768365233,18019759161
325--CHEMICALS,2104514646,2663982581,3412746858,4706041418,5430752473,7417933832,12195005359,9820517565,12504101936,15755466841,15753883683,16385002889,17754150228,17095900408,16073103082
326--PLASTICS & RUBBER PRODUCTS,3399552489,3972371960,5035885777,6638164301,7891571101,9298380000,10050019655,8892716653,10462609393,12792052397,14706961376,15918373818,16964642094,16279367465,15825202907
314--TEXTILE MILLS PRODUCTS,2446556598,3341163739,4421508801,5696991243,6584192636,7346077177,7321396621,6618936133,8231357926,9462043773,9703365198,10204280394,10547236149,11330600122,11141932495
327--NONMETALLIC MINERAL PRODUCTS,2831314945,3018962308,3419685148,4106825890,4969168638,5113812370,5089222964,3905649843,5147565796,5836171068,5986733365,6134595906,6802807501,7255908267,7205302848
321--WOOD PRODUCTS,1096179376,1284590420,1822812791,2315224142,2994254397,3077793728,2839142122,2249059455,2686348136,2806256061,3183063699,3322033687,3711885998,4000666937,3961882344
331--PRIMARY METAL MFG,855417661,986665385,3037653311,3998990675,6621394180,7154760228,10626664401,3843342006,3571687989,4570004540,4582771744,4616239768,6210242248,5592583462,3876151387
311--FOOD MANUFACTURES,747465565,1014113792,1275743064,1526217604,1889506028,2490292046,3001001512,2482868782,2854057353,3403813091,3844225404,3671715298,3580140938,3545957953,3559855804
