Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,22127790292,28367942859,34427772456,41192010123,53673008343,62936891576,69732837543,69496678611,91911080944,104121523635,110516615672,121746188637,123620711012,116071769560,115775122278
792--Aircraft & Associated Equipment,3428393131,2430458612,1814691442,3790279076,4836536878,5218770300,3909445975,5336549390,5762590857,6398269332,8365680202,12586939106,13927453167,15440577971,14576686013
222--Oil Seeds and Oleaginous Fruit,997488640,2890596689,2332545881,2252380335,2542038504,4124642828,7269417709,9207513253,10895925212,10539522910,14903647947,13318112817,14501710767,10551804528,14353002665
781--All Motor Vehicles,30965277,67611057,124137823,404884079,567946251,850542112,1110601376,1090373072,3495104478,5343056601,5780734210,8579152137,11220552279,9121656323,8862548013
776--Thermionic; Cold Cathode and Photocathode Valves,1621526020,2474737115,2955570788,3380151850,5887438764,6495483435,6489658345,5193167677,6422013786,4609709928,3834024908,4655562048,5393284037,5824467787,5795831754
874--Measuring/Checking/Analysing Instuments,772303432,985249251,1335381933,1410956020,1829916045,1990059896,2237683967,2131912224,2972093828,3207822018,3891422121,4378604038,3930645270,3896558496,3853078280
251--Pulp And Waste Paper,414991590,605879029,744168776,994936634,1473427704,2053178180,2233849223,2491509913,3052346040,3995342760,3820025811,3601608174,3364161845,3414012298,3480854095
728--Machinery Specialized For Particular Industries,620073914,646028437,1084763355,682435788,967768009,1761209728,1398122006,983762273,2403642544,2281239522,1661526948,1752246396,2280866677,2416068072,2971828014
764--Telecommunications Equipment,1025494517,844035875,915574428,1029892484,1141794105,1200677666,1466719247,1458922730,1577400285,1664521400,1919194266,2595788399,2465281063,2785202591,2734954675
288--Nonferrous Base Metal Waste & Scrap,459401733,737491739,975632620,1525238066,3139237747,3616862901,3678827957,2676201705,4546488271,6330218267,5430348196,5126203369,3953162103,3027457630,2296149375
784--Parts And Accessories Of Motor Vehicles,195736531,260182243,420929963,376759185,542611276,718529813,490794674,506013228,608415164,690325674,770166119,1430862321,1786993158,1527149576,1930130979
598--Miscellaneous Chemical Products,191961042,243297619,371523276,361959764,531465494,749284829,875871384,821415836,1086132249,1260214905,1475749456,1705328759,1860190756,1604286928,1681233962
872--Medical Instruments & Appliances,103870298,124392685,164496456,205340125,221936820,270068614,418449100,498635096,630637755,804993233,972143847,928263264,1168045855,1377038452,1635991058
774--Electro-Diagnostic Apparatus,212767870,330649084,314570835,384744894,369140453,463669551,544107705,646188683,814227630,989196557,1167884256,1269276972,1255628996,1340176449,1419502942
248--Wood; Simply Worked,109267672,139763240,185355584,247356229,320370705,269293361,228097039,253639018,474805958,789078404,767856916,1056999632,1316633511,1128905497,1392300180
772--Electrical Apparatus For Switching Or Protecting,306582512,359513403,473147902,514952435,695190729,751867211,898372066,893346002,1177914540,1162433882,1210384317,1427703312,1387734835,1426411624,1380488005
