Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,125192465050,152436096898,196682033935,243470104795,287774352612,321442866934,337772627823,296373883488,364952633595,399371232631,425619082637,440430019592,468483943748,483244701922,462813000460
984--Estimate Of Low Valued Import Transactions,957359740,1229871242,1652271195,2068852350,2501967474,2776438662,2966305042,2546070522,2618461949,2700783946,2551975082,2580808861,3234574525,3226394139,3070484007
971--Gold; Nonmonetary,47886,865046,709009,623801,1411784,2053220,2292374,836346,1978943,4766012,3351951,3776978,2580590,1891052,9187388
961--Coin (Other Than Gold Coin),230181,550927,1097966,1174235,1751497,2702689,2056070,1660444,5700954,5832212,4207917,8434567,3511895,4529477,2386474
950--Coin Including Gold,6217132,3111169,8702293,8486108,8684035,10857036,14250576,27575503,28697546,50937710,61709175,82532431,58673677,56733144,58831330
931--Special Transactions Not Classified By Kind,443832949,572848430,693144635,799481566,961241754,1145776057,1171162193,1171213508,1291449522,1444376329,1882554583,2009421521,2218315001,2330714461,2390691012
899--Miscellaneous Manufactured Articles,2377269753,2552937779,2762703343,2955290360,3131924721,3435619563,3522750438,3257764439,3914372700,4402647399,4697191964,4774036836,4897056039,5537103132,5850518682
898--Musical Instruments And Accessories,756596367,896321002,1492738710,1558548139,1779361017,1679836796,1782549611,1397616595,1421890327,1641400932,1972230829,2143524540,2949794106,3574666954,3799991024
897--Jewelry; Goldsmiths' & Silversmiths' Wares,1082012629,1350770468,1651571869,2015871026,2303945338,2482966802,2328429377,2065702771,2632958333,2949342669,2995887595,3128460418,2993733339,2839576422,2677017230
896--Works Of Art; Collectors' Pieces And Antiques,175271091,170038448,174790544,280135684,279578626,380748577,346350020,181233180,251810864,300671399,348446089,336879363,325976510,403961725,328081978
895--Office And Stationery Supplies,419896743,483568379,577260251,658684422,762588676,845002692,853505794,701233442,828625523,821100005,861887315,890926750,917174781,972137386,1009997102
894--Toys And Sporting Goods,14870739261,16458201001,17569369705,19566568487,21364699880,26674067973,27785432399,23699111421,25648727828,23329864221,22759321789,22521976278,23488820301,25360181549,24586196332
893--Articles Of Plastics,3100976903,3538269180,4203264124,5169927174,5820598556,6524681414,6876469490,6192214499,7412014383,8144583924,9160044022,9678256205,10217391195,10899806913,11333131273
